Agriculture,Mining and quarrying,Manufacturing,Electricity & water supply,Construction,Wholesale and retail trade,Accommo dation & restaurant,Transport and storage,"Information and communic
ation",Financial & insurance,Public Adminsitration,"Professional,
admin and support services",Real estate,Education,Health,Other services,FISIM,All indust. at basic prices,Taxes on products,GDP at market prices,"GDP,
seasonally adjusted",Filled_Year,Quarters
423098,21870,187632,52487,108357,170690,21935,206945,57093,146213,107773,57885,195701,98630,40005,48578,-60428,1884463,182979,2067442,2048678,2018,1.0
445341,20268,180342,53065,108842,163064,21264,208400,54870,148476,119262,61509,198924,97374,43643,48166,-59982,1912828,188946,2101774,2066830,2018,2.0
366861,18196,179287,54353,112286,176077,21126,218992,63589,157455,115123,62920,202293,98095,44520,50019,-63847,1877346,183190,2060536,2093533,2018,3.0
352484,19653,191045,54517,109477,184383,24537,214827,65627,177587,117509,64829,205810,98303,47874,50716,-69941,1909238,191901,2101139,2123801,2018,4.0
443440,21596,192686,54066,114925,178426,25339,221046,62132,156897,115767,61765,209991,102178,42073,51741,-66603,1987463,180013,2167476,2145145,2019,1.0
459892,21679,188246,53858,116807,173385,23724,226661,58621,162603,130083,66473,213239,100591,45961,51448,-64533,2028738,198753,2227491,2189115,2019,2.0
370177,19192,184179,55181,121192,185461,23642,229166,67725,174236,124860,66033,215771,104633,47145,52282,-68744,1972132,191300,2163432,2207067,2019,3.0
357099,20920,192683,55041,117601,193649,28878,226025,69481,186820,127433,69725,217588,107259,50523,50483,-78537,1992671,205876,2198547,2216841,2019,4.0
464519,23013,195926,54832,126576,187841,22437,225269,67393,166990,121110,63263,218984,107896,44880,49844,-63971,2076801,190042,2266843,2239603,2020,1.0
497268,22538,178601,51429,124923,166594,9511,188177,61718,168441,135802,49390,221057,79015,49864,39177,-64258,1979245,157609,2136855,2100512,2020,2.0
353815,20270,180404,55650,133533,176144,8520,205374,70812,179678,135233,53919,223930,87327,49131,45028,-67223,1911545,175032,2086577,2139685,2020,3.0
390382,22147,200678,57607,132945,197147,12646,211430,73518,205327,140635,61348,227603,102070,52245,41782,-77923,2051586,191200,2242786,2252897,2020,4.0
461672,25404,199847,56984,134419,204286,16095,207444,70811,183908,129888,55501,232078,120859,48425,45598,-67755,2125464,194692,2320156,2286865,2021,1.0
488136,24917,198361,55378,133581,183685,16136,222933,69012,190709,146889,59276,236145,106214,54581,50385,-66591,2169745,187892,2357637,2320407,2021,2.0
351517,23512,199422,59626,142532,187788,20880,235278,71801,198755,142412,62149,239807,114311,52626,52923,-70602,2084736,196977,2281713,2352675,2021,3.0
398634,30009,213196,59771,142233,210443,27926,226329,78600,229591,145768,67222,243063,120843,57897,48825,-83026,2217325,219112,2436437,2437345,2021,4.0
453795,31446,207409,58780,142420,214220,22550,223357,77160,215148,137991,62786,245912,126404,51189,49676,-68283,2251961,213191,2465152,2423324,2022,1.0
476539,29061,205560,58481,139622,191186,23236,239047,76741,221399,152466,65744,248050,110851,57003,52572,-67428,2280130,199274,2479404,2443881,2022,2.0
346863,22450,202991,63179,147524,194499,24410,247170,80275,217741,147322,67748,249474,118775,54550,55929,-72217,2168684,211332,2380016,2466618,2022,3.0
394888,30501,217091,62711,145649,216032,32090,232373,84880,251202,152607,70818,250187,128188,60363,50781,-84368,2295993,230764,2526757,2518478,2022,4.0
480143,32494,211492,60123,146784,226403,27403,237199,83904,227613,147055,67366,258687,131012,53977,51150,-68698,2374107,222587,2596694,2547019,2023,1.0
